所有 一切、全部。 他必須盡量考慮<所有>可能發生的經驗。
撲 往前移動，將身體的重心投射到離原來位置有一段距離的目標物上的一次快速動作。 段羽狼狽的抱著凱瑟琳在地下打了幾個滾，躲開狼王的第二<撲>。
上 往北或接近中心移動。 台鐵除<上>下通勤列車照常開行外，預定採兩階段停開措施。
下 往南或離開中心移動。 他在位六十年，先後六<下>江南，遍遊名山名園。
井 往地下開挖的深洞。 這口<井>的埋藏量，保守估計有近五百億立方英尺的天然氣。
井 往地底下開挖為取水的深洞，通常有矮牆圍起且有取水設備。 小時候，我也曾在<井>邊汲過水。
泰 往正面發展的運勢。 占者必否極而後<泰>至，然又當行好事．不可貪取妄作。
跑 往特定目標移動。 從現在看年輕人越來越喜歡往東京<跑>，這就是一個強而有力的證明。
跑去 往特定目標跑。 在東沙村裡，村民趕著小型的馬隊往城裡<跑去>。
盤 往返來回地移動。 「塑」多用於土泥等可塑性材質，以揉、<盤>、堆、貼或拉胚等手法成器。
上去 往高處移動。 本來他要<上去>高塔，沒想到才爬到一半，就臉色鐵青的下來。
過目 很快地看過一遍。 他發現有些人帶著著厚厚的補充講義，好奇的向同學借來<過目>，才發現原來老師暗中幫助數學成績好的同學補習。
津津樂道 很有興趣地談論。 「亞森‧羅蘋」是一部最膾炙人口、令人<津津樂道>的傳奇故事！
會 很短的時間。 今天不用上班，本可多睡<會>，可是我還是習慣每天在這個時候醒過來。
頷 律詩中第三、四兩句。 兩首詩的<頷>、頸聯皆有對仗。
計有 後接全部計數的總結。 此次INNOPAC擴充的項目<計有>四十個使用權限將開放。
計有 後接各項列舉項目。 參加的國家<計有>韓國、日本、美國、蘇聯、菲律賓、西班牙等。
堂 後接直系以外的同宗親屬。 <堂>妹妹表示她準備每天給爺爺做飯吃。
曾 後接相隔兩代的直系親屬。 小孩的父親是爺爺的內孫的話，小孩才是<曾>內孫!
表 後接非同宗的親屬。 表哥把花一樣的英娶回了家，成了我的<表>嫂。
不覺 後述事件在沒有主動意識下發生，出於自然而非做作。 今天才知道自己的親生母親正在受苦，想到這些，<不覺>又流下眼淚。
出 後述對象來自前述對象。 俗話說埔里<出>美女，真是一點也沒錯。
可見 後述對象廣泛存在而容易察覺。 對於沈校長的做法，在清華引起了大震盪，海報牆處處<可見>抗議的聲明。
丟掉 後述對象從有到無。 他因為開會遲到，而<丟掉>一個重要的客戶。
用得著 後述對象有必要性。 老婆偷漢謂之王八，還<用得著>費心推敲嗎？
十分 後述對象的全部。 你喜歡幫助人，雖然使上了<十分>力不見得會得到三分感謝。
擁 後述對象的控制權屬於前述對象。 行政機關及政團各<擁>學者為其智囊，為其政治標語與政策背書、辯護、充當打手。
萬分 後述對象的程度極高。 對於自己的造訪，想來是一種打擾，心中懷著<萬分>的矛盾、不忍、與罪惡。
現有 後述對象目前存在並被特定對象所擁有。 南非國防分析家海特曼說，這是伊拉克軍隊<現有>最好的一種砲。
再見 後述對象經過一段時間後再次呈現因而被看見。 昔日客家婦女穿著藍衫上街的畫面在美濃已經看不到了，只有在節慶或表演活動中才能<再見>藍衫風采。
串 後述對象間產生不正常的連結。 味道較重或是比較溼的乳酪，要小心包好以免<串>味。
不覺 後述心理感知在沒有主動意識下發生，不在預期之中。 友人忽見書架上有胡適先生早年所校敦煌唐寫本神會和尚遺集，為一九三０年上海亞東圖書館初印本，<不覺>大喜。
等於 後述數值為前述運算的結果。 一加一<等於>二。
爬 後述昆蟲在前述物體上移動，通常數量較多。 蛋糕上<爬>了螞蟻。
前 後述時期出現前的時期。 在<前>資本主義社會中，城市是國家權力的中心。
走 後述物體離開原來的地方。 九二一大地震時，草嶺風景特定區崛大規模<走>山，巨石從山上敝開地席捲三個方向的高山岩壁，氣勢猛烈，場面驚人。
涉 徒步穿越特定水體。 但願有天能爬遍大屯山群，<涉>遍每一條溪谷。
打成 得到後述比數或結果，強調動作的結果。 朴贊淑連連硬吃，上半場結束，雙方<打成>廿七比廿七平手。
當成 得到想要的身份或職位是後述對象。 男主角雖沒<當成>，兩人成了好友和長期的工作夥伴。
收 得到由來源給予的事物。 你拿禮物送人，人家不<收>，禮物歸誰呢？
等到 得到等待的結果。 其實我也排了好幾年的隊，才<等到>這個名額。
抱 得獎。 他參加任何比賽，沒有不<抱>個獎盃回來的。
切入 從一點或空隙進到空間範圍。 其實那時也不算早了，太陽已慢慢挪向天頂，窗口原可<切入>一塊昭亮的陽光，但給一層很厚的窗簾遮住。
切入 從一點或空隙進到虛擬範圍。 有些怪客乾脆把如何入侵的方法放在網路上，新手只要照著做，就能在別人電腦裡肆虐。「<切入>的方法太多了，根本防不勝防」。
切入 從一點進到時間範圍。 進入十月的展覽旺季，台北市立美術館從教師節的連續假期<切入>，讓三項重要畫展提前上檔。
撞球 從事一種在長方形球台上以一顆母球撞擊其他子球進袋的球類運動。 他在藝術學院註冊，卻不去畫室而每天跑去<撞球>，考過無數次美術學院都失敗。
保險 從事保險工作的公司集團的名稱。 兆豐<保險>不僅以豐富的經驗提供您優質服務，更廣設服務據點，讓所提供的服務及時有效。
童 從事前述勞動工作的人。 他放棄了家裏安逸穩定的工作，卻不得不迫於生計，當上了一個起早貪黑走街串巷的報<童>。
婦 從事前述勞動工作的女子。 林風眠在風景中點綴高壓線，算是山河新貌，同時也表現農<婦>們集體勞動剝玉米之類的場面。
仔 從事前述工作的人。 目前全港有二百三十三萬名強積金供款人，為免打工<仔>退休金血本無歸，消委會昨日再次「出招」，教他們如何閱讀「強積金成績單」，即「周年權益報表」。
客 從事前述活動的人。 煙斗<客>細啜輕吐的享受煙斗，溫和而有節制。
事業 從事前述特定活動，具有一定規模的組織。 近年來因為黨營<事業>盈餘不再，開始舉債度日。
孃 從事前述職業的女子。 下龍灣時常可見賣水果的船<孃>往返穿梭於水面上，別有一番風情。
家 從事前述行業的特定族群。 木和石頭搭建的亭裏，今天又放了皮袍和木柴，想又是樵<家>和獵<家>送來的東西了。
役 從事前述被指派的勞動工作的人。 府裏的廝<役>們早早地起了床，清點貢品，搬運貢銀。
商 從事商業工作的人。 茶葉<商>都知道台灣紅茶品質好。
開發 從事土地開發工作的公司集團的名稱。 中華<開發>在台灣是家大公司，但到了美國，擁有的資金不足為道，大部分的企業主也根本沒聽過這家公司。
媒體 從事媒體工作的人或團體。 這些女人不顧四周異樣的眼光，甘願花錢，走向被<媒體>描繪為「危險」的牛郎。
建設 從事建設的公司集團的名稱。 太平洋<建設>創立迄今30餘年，成立之初主要業務為工程營造。
漁民 從事捕魚工作的人。 日本人佔據釣魚台，對宜蘭<漁民>的影響最大。
作家 從事文學創作的人。 楊錦郁是一位年輕的<作家>，寫作認真品管嚴，發表在各刊物的作品不多。
上班 從事有固定工作時段的工作。 這款遊戲大概有很多玩家都是已經在<上班>的五六年級生，因此在遊戲中也設計了防老闆裝置。
跑船 從事有固定船期的職業。 他跟我提起過退伍後要去<跑船>，想要到處去看看。
水泥 從事水泥產銷工作的公司集團的名稱。 半屏山原為南部名勝，因東南<水泥>無止境的採礦，如今只剩土丘陵地。
汽 從事汽車產銷或客運服務的公司集團的名稱。汽車公司的簡省。 國光號跟竹<汽>是同一家。
汽車 從事汽車產銷的公司集團的名稱。汽車公司的簡省。 三菱<汽車>宣布，公司將裁員14%。
品 從事特定事件時表現出的行為特質。 摔東西等情緒性反彈風波，運動精神盡失，球<品>太差，應加強檢討。
跑 從事特定事務。 這位記者說，其實吳伯雄的新聞不好<跑>，他從不透露不適宜發表的新聞。
走 從事特定工作。 要<走>幕前，要有相當的本錢。
企 從事特定經濟活動、具有一定規模與組織的營利事業。 本月15日，龍永圖、嚴介和等國內政<企>界大腕將來參加華佗CEO論箭。
跑 從事特定職業。 那<跑>業務的辛苦，大概一些當公家機關的都不太知道。
球員 從事球類運動的運動員。 南半球酷熱難耐，使得參加澳洲網球公開賽的各國<球員>心浮氣躁。
科技 從事科技工作的公司集團的名稱。 最後所幸聯絡上台北的巨獅創意<科技>，免費提供二號原型車的馬達。
畫家 從事繪畫的藝術工作者。 中國人的詩人和<畫家>，都很喜歡山水，懂得欣賞山水。
航運 從事航運工作的公司集團的名稱。 本案是今年三月份被退件的，原因是該公司與其關係人中國<航運>的主要大股東為同一人。
藝術家 從事藝術創作的工作者。 我不認識其他評審員，或者任何一位<藝術家>的作品。
製藥 從事製藥工作的公司集團的名稱。 五洲<製藥>創立於民國45年，設廠於台北市。
廠 從事製造生產的公司。 宏碁公司曾使用某大<廠>十多個專利。
資訊 從事資訊工作的公司集團。 北祥<資訊>將於九月二十六日假太訊電腦會議中心，舉辦一場講座。
農 從事農業工作的人。 苗栗縣公館鄉的專業蔬菜<農>湛炎慶現在擔任一個共同經營班的班長。
體能 從事體力活動的能力。 學生不只是專注於學業，還要在人格、<體能>、文化方面發展，成為全面的人。
運動 從事體育競賽活動。 每年的校慶，學校都會舉辦各種<運動>比賽，藉以提升學生體能的鍛鍊。
歸納 從兩個以上的實例推導出一般原則的堆理過程。 <歸納>推理，有時叫做<歸納>邏輯，是論證的前提支持結論但不確保結論的推理過程。
擠 從兩旁往中間方向施加壓力使後述對象從縫隙中出來。 手工<擠>乳秀動手<擠>牛奶好好玩！
生平 從出生到現在。 萬萬沒想到，<生平>頭一遭的海上遊竟在這羅曼蒂克的愛琴海！
接 從前述交通工具連結後述交通路線。 台灣到尼泊爾多從曼谷轉機再<接>尼泊爾航空。
精 從前述對象中提煉、粹取出來的精華物質。通常用於藥品或食品。 不少人靠喝雞<精>來提振精神、加強體能，但可不是人人都適合喝雞<精>。
油 從動物體內脂肪或植物種子內提煉出來的液體。 指甲滋養<油>，是保持指甲健康的柔性<油>。
下來 從北邊向南邊接近參考點移動。 從台北<下來>，丘子章在高速公路上睡了一覺。
吐 從取物孔裡出來。 咖啡屋裡老闆和小妺同聲驚叫，幾名客人連滾帶爬的往外跑，留下一只電動玩具叮叮咚咚不斷的<吐>著銅板。
嘆 從口中呼出長氣。 李文秀<嘆>了口氣，道：「好，咱們走吧！」
回味 從回憶裡體會。 各種滷味和湯類，讓顧客齒頰留香，<回味>無窮。
抽 從固態或液態物體中拉出絲狀物。 蠶繭通常<抽>完絲後裡頭的蛹就丟棄了。
退出 從團體或組織當中脫離。 自從唱片銷量不如以往，他就萌生<退出>演藝圈的想法。
泉 從地表湧出的水。 驀地，我感到傾注，像九溪山<泉>那樣汩汩地、無孔不入地傾注。
退出 從執行中的程式離開。 一旦選課作業完成，就可以直接<退出>選課系統了。
批 從大盤商出貨或向大盤商進貨。 成衣製造商以超低價位將衣服<批>給各地的零售業者。
吐 從密閉空間出來。 春來了，校園裡，小草嫩綠，欖仁樹<吐>新芽。
寒流 從寒冷地帶向中、低緯度地區移動，造成氣溫驟降的冷氣團。 每逢冬季<寒流>頻催，合歡山自然形成台灣最著名的雪鄉。
抽 從小孔或縫隙中以手取出特定物品。 眼看劍鋒就要刺入蝴蝶君的頸喉，卻依然不見他<抽>刀抵抗。
故鄉 從小生長的地方。 只有身處異鄉的時候，才格外懂得<故鄉>的美好。
出門 從居住地的裡面移動到外面。 他每天一大早就<出門>去打獵，天快黑了才回家。
上山 從山的低處向高處移動。 警方和林務局在火警發生後，立即動員大批人員<上山>進行搶救。
